Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
XXII,"22nd Century Group, Inc",2.15,$267.46M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii
FAX,Aberdeen Asia-Pacific Income Fund Inc,3.88,$977.49M,1986,n/a,n/a,https://www.nasdaq.com/symbol/fax
IAF,Aberdeen Australia Equity Fund Inc,4.73,$107.57M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/iaf
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.43,$389.01M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aef
FCO,"Aberdeen Global Income Fund, Inc.",6.82,$59.5M,1992,n/a,n/a,https://www.nasdaq.com/symbol/fco
ACU,Acme United Corporation.,14.2156,$47.89M,1988,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu
ATNM,"Actinium Pharmaceuticals, Inc.",0.39,$45.12M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm
AE,"Adams Resources & Energy, Inc.",40.13,$169.25M,n/a,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae
ACY,AeroCentury Corp.,11.02,$17.04M,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy
UAVS,"AgEagle Aerial Systems, Inc.",0.532,$6.17M,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs
AGE,"AgeX Therapeutics, Inc.",2.75,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/age
AIRI,Air Industries Group,0.7801,$21.64M,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi
AXU,Alexco Resource Corp,0.816,$88.13M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu
ALO,Alio Gold Inc.,0.7445,$63.06M,2011,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo
AAU,"Almaden Minerals, Ltd.",0.586,$65.42M,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau
APT,"Alpha Pro Tech, Ltd.",3.86,$52.61M,n/a,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt
AAMC,Altisource Asset Management Corp,30.04,$49.06M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/aamc
AMBO,Ambow Education Holding Ltd.,5.7,$122.96M,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/ambo
DIT,AMCON Distributing Company,84.9,$52.41M,n/a,Consumer Non-Durables,Food Distributors,https://www.nasdaq.com/symbol/dit
AMS,American Shared Hospital Services,2.39,$13.66M,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/ams
USAS,Americas Silver Corporation,1.33,$57.32M,2017,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/usas
AMPE,"Ampio Pharmaceuticals, Inc.",0.4297,$45.86M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/ampe
APHB,AmpliPhi Biosciences Corporation,0.235,$7.59M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/aphb
ARNC^,Arconic Inc.,88.5,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/arnc^
